OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,STREET,CITY,ZIP,COUNTY,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape,Latitude,Longitude
1049,1049,7016,101903,ALIEF ISD,101903123,HORN EL,10734 BISSONETT,HOUSTON,77099,10734 BISSONETT,HOUSTON,77099,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04,1,0,REGULAR INSTRUCTIONAL,10734 BISSONETT,Y,1049,29.670869,-95.58599
1122,1122,7388,101813,KIPP INC CHARTER,101813105,KIPP SW LOWER SCHOOL SHINE,10711 KIPP WAY,HOUSTON,77099,10711 KIPP WAY,HOUSTON,77099,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05,1,0,CHARTER/REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1122,29.670869,-95.58599
1126,1126,7392,101859,STEPPING STONES CHARTER EL,101859101,STEPPING STONES CHARTER EL,11250 S WILCREST,HOUSTON,77099,11250 S WILCREST,HOUSTON,77099,101,HARRIS COUNTY,4,KG 01 02 03 04 05 06,1,0,CHARTER/REGULAR INSTRUCTIONAL,11250 S WILCREST,Y,1126,29.670869,-95.58599
1127,1127,7393,101860,KIPP SOUTHEAST HOUSTON,101860001,KIPP LIBERATION,10711 KIPP WAY,HOUSTON,77099,3730 SOUTH ACRES RD,HOUSTON,77047,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,5,0,CHARTER/REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1127,29.670869,-95.58599
1128,1128,7394,101860,KIPP SOUTHEAST HOUSTON,101860002,KIPP SPIRIT,10711 KIPP WAY,HOUSTON,77099,3150 YELLOWSTONE BLVD,HOUSTON,77054,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,5,0,CHARTER/REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1128,29.670869,-95.58599
1160,1160,7660,101813,KIPP INC CHARTER,101813001,KIPP ACADEMY MIDDLE SCHOOL AND HIGH SCHOOL,10711 KIPP WAY,HOUSTON,77099,10711 KIPP WAY,HOUSTON,77099,101,HARRIS COUNTY,4,11-Jun,5,0,CHARTER/REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1160,29.670869,-95.58599
1198,1198,7949,101813,KIPP INC CHARTER,101813107,KIPP GULFTON LOWER SCHOOL,10711 KIPP WAY,HOUSTON,77099,10711 KIPP WAY,HOUSTON,77099,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1198,29.670869,-95.58599
1252,1252,8173,101813,KIPP INC CHARTER,101813045,KIPP VOYAGE ACADEMY FOR GIRLS,10711 KIPP WAY,HOUSTON,77099,9616 MESA DR,HOUSTON,77078,101,HARRIS COUNTY,4,06 07 08,2,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1252,29.670869,-95.58599
1253,1253,8174,101813,KIPP INC CHARTER,101813111,KIPP LEGACY PREPARATORY SCHOOL,10711 KIPP WAY,HOUSTON,77099,9614 MESA DR,HOUSTON,77078,101,HARRIS COUNTY,4,PK KG,1,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1253,29.670869,-95.58599
1254,1254,8175,101860,KIPP SOUTHEAST HOUSTON,101860005,KIPP SUNNYSIDE H S,10711 KIPP WAY,HOUSTON,77099,11000 SCOTT ST,HOUSTON,77047,101,HARRIS COUNTY,4,09 10 11 12,4,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,1254,29.670869,-95.58599
